image_name,latitude,longitude,description
paris_eiffel_tower,48.8584,2.2945,Tour Eiffel Paris jour
paris_notre_dame,48.853,2.3499,Cathédrale Notre-Dame Paris
london_big_ben,51.4975,-0.1357,Big Ben Londres
london_tower_bridge,51.5055,-0.0754,Tower Bridge Londres
new_york_statue_liberty,40.6892,-74.0445,Statue de la Liberté New York
tokyo_senso_ji,35.7149,139.7967,Temple Senso-ji Tokyo
barcelona_sagrada_familia,41.4036,2.1744,Sagrada Familia Barcelone
sydney_opera_house,-33.8568,151.2153,Opéra de Sydney
rome_colosseum,41.8902,12.4924,Colosseum Rome
dubai_burj_khalifa,25.1972,55.2744,Burj Khalifa Dubaï
